latitude,longitude,altitude,geometry,State,Count_Q1,Count_Q2,Count_Q3,Count_Q4,Count_Year,fireball_q1,fireball_q2,fireball_q3,fireball_q4,fireball_year,disk_q1,disk_q2,disk_q3,disk_q4,disk_year,light_q1,light_q2,light_q3,light_q4,light_year,circle_q1,circle_q2,circle_q3,circle_q4,circle_year,triangle_q1,triangle_q2,triangle_q3,triangle_q4,triangle_year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.7794,-86.8287,0,Point,Alabama,10,7,18,27,62,0,0,5,4,9,0,0,0,0,0,6,4,10,13,33,1,0,0,1,2,2,0,2,4,8,,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,,,,,0,1,,,,,,,,,,,2
64.0685,-152.2782,0,Point,Alaska,16,4,9,10,39,2,0,0,0,2,4,1,1,0,6,3,0,4,0,7,1,0,1,2,4,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.2744,-111.6602,0,Point,Arizona,80,51,57,89,277,6,1,3,6,16,2,2,1,1,6,12,15,14,31,72,5,5,4,5,19,9,2,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34.8938,-92.4426,0,Point,Arkansas,7,7,13,13,40,0,1,0,1,2,1,0,0,1,2,1,2,4,4,11,1,2,3,0,6,1,0,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.1841,-119.4696,0,Point,California,140,103,175,367,785,11,5,38,84,138,4,3,10,10,27,60,40,84,194,378,38,46,30,82,196,9,7,15,14,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.9972,-105.5478,0,Point,Colorado,27,23,52,59,161,3,1,1,5,10,0,1,0,0,1,5,6,12,10,33,5,3,5,4,17,2,0,6,5,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.6219,-72.7273,0,Point,Connecticut,20,17,18,25,80,2,0,3,1,6,2,0,1,0,3,3,2,6,6,17,2,2,2,3,9,3,0,2,4,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.9896,-75.505,0,Point,Delaware,2,3,13,11,29,0,0,0,1,1,0,0,0,0,0,1,0,2,4,7,0,2,6,2,10,1,1,2,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.9101,-77.0147,0,Point,District of Columbia,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.6305,-82.4497,0,Point,Florida,130,113,110,109,462,60,6,15,5,86,12,3,6,2,23,26,27,19,22,94,46,15,16,9,86,8,7,6,9,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.6415,-83.4426,0,Point,Georgia,25,26,43,36,130,1,3,8,8,20,1,1,1,1,4,10,6,2,3,21,1,3,6,6,16,4,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20.2927,-156.3737,0,Point,Hawaii,9,1,7,10,27,1,0,2,0,3,1,0,0,0,1,3,0,2,3,8,0,0,0,0,0,0,0,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.3509,-114.613,0,Point,Idaho,27,24,17,24,92,4,1,0,4,9,1,1,0,0,2,6,9,6,7,28,4,0,3,4,11,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.0417,-89.1965,0,Point,Illinois,32,32,76,37,177,2,5,14,3,24,1,1,1,1,4,10,5,21,13,49,2,5,8,0,15,1,4,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.8942,-86.2816,0,Point,Indiana,13,20,24,21,78,0,0,3,1,4,0,3,2,1,6,3,4,6,5,18,3,1,3,5,12,3,1,2,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.0751,-93.496,0,Point,Iowa,5,10,19,12,46,0,0,1,2,3,1,0,1,0,2,2,2,4,3,11,0,1,2,0,3,0,1,2,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.4937,-98.3804,0,Point,Kansas,4,3,19,15,41,1,0,1,1,3,0,0,1,0,1,1,0,5,5,11,0,1,3,1,5,0,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.5347,-85.3021,0,Point,Kentucky,6,15,13,29,63,0,0,1,3,4,0,0,0,2,2,0,4,1,6,11,0,1,1,3,5,1,0,2,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.0689,-91.9968,0,Point,Louisiana,14,13,20,12,59,1,1,1,1,4,1,0,1,0,2,4,4,4,1,13,0,1,3,3,7,3,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.3695,-69.2428,0,Point,Maine,9,12,23,12,56,1,1,0,2,4,0,0,2,0,2,1,3,6,5,15,0,5,4,0,9,1,1,3,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39.055,-76.7909,0,Point,Maryland,24,22,29,37,112,4,1,3,1,9,0,0,1,0,1,2,5,7,4,18,0,1,4,9,14,1,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42.2596,-71.8083,0,Point,Massachusetts,20,27,50,48,145,6,2,8,2,18,0,2,2,0,4,4,10,14,2,30,1,3,4,3,11,5,3,2,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44.3467,-85.4102,0,Point,Michigan,28,37,66,47,178,0,2,7,2,11,1,2,1,1,5,12,12,21,12,57,1,3,9,5,18,0,1,8,6,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.2807,-94.3053,0,Point,Minnesota,18,30,69,31,148,1,1,7,1,10,2,0,2,1,5,4,5,8,4,21,1,1,21,3,26,1,5,4,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.7364,-89.6678,0,Point,Mississippi,3,12,11,12,38,0,2,4,2,8,0,0,0,1,1,1,1,1,0,3,0,3,5,0,8,0,1,2,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
